Sentence,Words,POS,Tag
Sentence: 1,Dugeha ,NZ,B-LOC
,timirtte ,NP,O
,biro,PD,I-ORG
,zoonessinne  ,NN,I-LOC
,worada  ,NN,I-LOC
,timirtte,NN,O
,kaaleththizaytassinne,AJC,O
,oothanchatas,VC,O
,astamaareta,NP,O
,kaapo,NP,I-PER
,astamaaretassinne,AJC,I-PER
,supervizeretas,NP,I-PER
,ooththida,VC,O
,ootho ,VC,O
, xigetha ,POP,O
,bolla,POP,O
,lohisoy ,PD,O
,immetidaysi ,PP,O
,qonccides,VP,O
,. ,PUN,O
Sentence: 2,Astamaareti,NP,B-PER
,nne,pun,O
,kaappo,NN,I-PER
,astamaarenne,NP,O
,superviseretas,NP,I-PER
,detha  ,VP,O
,naagida ,AJC,O
,eratethe,PPO,O
,qoodimaagay ,PI,O
, daana,NP,O
,koshshizaysi ,AJC,O
,malatettides ,VP,O
,.,PUN,O
Sentence: 3,Dugeha   ,NZ,O
,killile,NN,I-ORG
,timirtte    ,NN,I-ORG
,biiroy   ,NN,I-ORG
,astamaareta,VP,O
,supervizereta ,VP,O
,ootho,VC,O
,piqaade,AJC,O
,imonne ,AJC,O
,oorakkiso ,VC,O
,ootho,VC,O
,kaaleththizayti ,NV,O
,daana  ,NN,I-PER
,Markos,NN,I-PER
,Bulchay  ,NN,I-PER
,Loohiso ,NPO,O
,doyishe ,AJ,O
,ooththida,VC,O
,haasa'an ,PC,O
,timirtte ,PD,O
,geeshshatetha,POP,O
,naagisanaasinne,AJC,O
,be ,CC,O
,eratethenne ,AJC,O
,hiillan,POP,O
,giiga,PPP,O
,gidida,PPP,O
,tamaare ,PD,O
,ayfissannas,VC,O
, detha,NZ,O
, nagidaysine,AJC,O
, ootho,VC,O
, piqaadey,AJC,O
, diza,PD,O
, oothanchay ,NC,O
,deethay ,AJ,O
,koshshes,PP,O
, gida,POP,O
,.,PUN,O
Sentence: 4,Astaamaaretinne ,NP,B-PER
,timirtte ,NV,O
,keetha,NZ,O
,kaaleththizayti ,PPO,O
,ootho ,POP,O
,azazo ,POP,O
,demmanaas,PI,O
, paacettiza ,VC,O
,miishshatappe,NZ,O
, issay ,PC,O
,be ,CC,O
,ootho,VC,O
, eratetha,IJ,O
, detha,POP,O
, baasson,PPP,O
, giigissida,NZ,O
, oothettida,PC,O
, ootho,VC,O
, xiggidinne ,VC,O
,muuruta ,PC,O
, imon ,NZ,O
,ootho,VP,O
, piqaade,VP,O
, poliso ,PC,O
,kaaloda ,PPP,O
,bolla ,PD,O
,qonccisidaysas ,AJC,O
,wudetethi ,AJC,O
,koshshizaysa,PI,O
, Dana  ,NN,I-PER
,Marqosey,NN,I-PER
,erissida,NV,O
,. ,PUN,O
Sentence: 5,Astamaaretassinne ,NP,B-PER
,timirtte-keetha   ,NN,I-ORG
, kaaleththizayti ,NV,O
,dere ,NN,O
,detha,AJC,O
, astamaareti,NP,O
, kaappo ,NP,I-PER
,astamaaretinne ,NP,I-PER
,supervizereta  ,NP,I-PER
,ootho,VC,O
, eratetha,NZ,O
, kaaloda,NV,O
, baasson ,POP,O
,giigissida ,PI,O
,ootho ,VC,O
,polo,AD,O
, pilgon ,PD,O
,giigetetha ,PC,O
,bessiza,NC,O
, hanotan ,VC,O
,xigganaasinne ,PPP,O
,wuusane,AJP,O
, immanas,AJP,O
, loohiso ,NZ,O
,dhoqqa ,NV,O
,maado ,NC,O
,gididaysa,AD,O
, kaappoy,PD,O
, yootida,PI,O
,.,PUN,O
Sentence: 6,Loohiso ,NC,O
,bola ,PC,O
,daro ,POP,O
,sanadeti ,PPP,O
,shiiqidaysa ,VC,O
,gidishin,NZ,O
, timirtte,NC,O
, oothanchata  ,PI,O
,derenne,PD,O
, alame ,AD,O
,detha,VC,O
,qeellamisana,NZ,O
, danda'issiza ,PPP,O
,dere,NZ,O
,giddonne ,PC,O
,dumma ,AD,O
